withGAT,withoutGAT
0.702970297,0.485148515
0.37,0.36
0.57,0.28
0.47,0.41
0.83,0.52
0.68,0.57
0.66,0.43
0.6,0.3
0.7,0.36
0.52,0.33
withGAT,withoutGAT
0.4,0.33
0.68,0.39
0.51,0.33
0.34,0.29
0.62,0.3
0.37,0.35
0.71,0.37
0.7,0.37
0.7,0.4
0.57,0.35
withGAT,withoutGAT
0.54,0.34
0.66,0.44
0.48,0.27
0.59,0.42
0.61,0.31
0.71,0.26
0.76,0.45
0.42,0.22
0.32,0.28
0.61,0.44
withGAT,withoutGAT
0.53,0.41
0.5,0.27
0.42,0.34
0.45,0.26
0.53,0.43
0.65,0.42
0.72,0.38
0.61,0.33
0.46,0.39
0.41,0.22
withGAT,withoutGAT
0.73,0.36
0.81,0.42
0.7,0.48
0.46,0.33
0.61,0.47
0.58,0.44
0.57,0.35
0.77,0.67
0.53,0.29
0.86,0.56
withGAT,withoutGAT
0.7,0.55
0.86,0.65
0.67,0.46
0.33,0.24
0.29,0.29
0.8,0.52
0.6,0.32
0.58,0.36
0.76,0.35
0.83,0.42
withGAT,withoutGAT
0.87,0.48
0.64,0.49
0.63,0.49
0.6,0.36
0.68,0.39
0.35,0.31
0.69,0.37
0.59,0.3
0.38,0.33
0.38,0.36
withGAT,withoutGAT
0.7,0.54
0.62,0.45
0.62,0.32
0.51,0.26
0.48,0.45
0.76,0.57
0.41,0.29
0.53,0.27
0.35,0.29
0.44,0.26
withGAT,withoutGAT
0.24,0.31
0.55,0.37
0.52,0.26
0.29,0.27
0.67,0.43
0.93,0.47
0.82,0.52
0.76,0.34
0.58,0.4
0.67,0.38
withGAT,withoutGAT
0.57,0.34
0.63,0.41
0.41,0.33
0.42,0.29
0.27,0.25
0.54,0.363636364
0.5,0.38
0.79,0.43
0.91,0.66
0.82,0.64
withGAT,
0.5,
0.41,
0.31,
0.58,
0.74,
0.64,
0.71,
0.72,
0.58,
0.61,
withGAT,
0.66,
0.76,
0.81,
0.71,
0.79,
0.75,
0.68,
0.46,
0.47,
0.6,
withGAT,
0.5,
0.51,
0.8,
0.95,
0.8,
0.37,
0.26,
0.25,
0.35,
0.49,
withGAT,
0.48,
0.67,
0.71,
0.72,
0.67,
0.47,
0.39,
0.4,
0.62,
0.8,
withGAT,
0.67,
0.46,
0.87,
0.83,
0.82,
0.85,
0.83,
0.58,
0.88,
0.34,
withGAT,
0.39,
0.49,
0.66,
0.68,
0.89,
0.83,
0.66,
0.62,
0.59,
0.53,
withGAT,
0.53,
0.74,
0.87,
0.51,
0.64,
0.62,
0.53,
0.53,
0.85,
0.71,
